transaction_id,customer_id,merchant_id,amount,payment_method,failure_reason,retry_count,minutes_since_failure,customer_success_rate,method_success_rate,previous_failures,is_international,device_type,hour,day_of_week,recovery_success
TX000000,16795,680,2232.97,WALLET,LIMIT,3,30,0.42857791226011976,0.5698408075504676,4,0,mobile,8,2,0
TX000001,1860,1795,706.29,UPI,LIMIT,3,15,0.8341294189910098,0.5442757327125174,2,0,desktop,3,4,1
TX000002,6390,2216,575.21,UPI,LIMIT,1,120,0.6119682971324358,0.6165802626945538,2,1,mobile,19,4,1
TX000003,12964,2081,9801.48,CARD,LIMIT,0,15,0.8835173709308184,0.6086927538606153,3,0,desktop,8,1,0
TX000004,12284,825,268.4,NETBANKING,NETWORK,2,30,0.41819612728473726,0.34147563469442366,4,0,mobile,8,5,0
TX000005,7265,2596,1009.61,WALLET,LIMIT,2,15,0.9251982229927433,0.5063308967197204,0,0,tablet,15,2,1
TX000006,17850,1686,981.29,WALLET,BANK_DECLINE,3,30,0.7952002571515756,0.7289189658411757,4,0,mobile,19,6,0
TX000007,5426,434,814.29,UPI,TIMEOUT,1,15,0.40504254080677365,0.30695968811352997,1,0,tablet,16,1,1
TX000008,15423,2401,1793.74,NETBANKING,BANK_DECLINE,2,30,0.4741731059730575,0.3125689848354486,4,0,mobile,16,1,0
TX000009,12363,2691,538.53,WALLET,LIMIT,3,240,0.43179821720148204,0.8792712872822515,0,0,mobile,7,3,1
TX000010,17023,1054,701.38,WALLET,BANK_DECLINE,1,240,0.5484452459240934,0.7285202933740815,2,0,tablet,23,5,0
TX000011,9322,831,589.04,CARD,LIMIT,1,5,0.6363436515923326,0.7723530052540579,1,0,mobile,23,4,1
TX000012,2685,1407,740.68,WALLET,LIMIT,1,240,0.3583222514058285,0.6207164656960549,4,0,tablet,0,4,0
TX000013,1769,244,803.83,NETBANKING,LIMIT,1,15,0.8352244005652483,0.38535996155916036,0,0,mobile,20,5,0
TX000014,3433,1797,830.62,WALLET,NETWORK,0,60,0.7238929755591534,0.7856659826675321,4,0,mobile,18,4,0
TX000015,6311,1950,1481.48,WALLET,LIMIT,3,15,0.6913946586686918,0.5141047066326081,0,0,desktop,21,6,0
TX000016,6051,2847,600.3,CARD,BANK_DECLINE,0,30,0.7921450584518857,0.8721795205919867,2,0,tablet,1,4,1
TX000017,7420,1851,1275.44,WALLET,BANK_DECLINE,2,15,0.6133039956152453,0.7856228754596337,2,1,mobile,18,0,0
TX000018,18568,2341,294.29,WALLET,TIMEOUT,0,5,0.9251956032551507,0.3367810587180631,2,0,mobile,13,0,0
TX000019,7396,2238,8594.74,UPI,LIMIT,3,30,0.500920229057515,0.8038923703048448,3,0,desktop,23,3,1
TX000020,9666,364,589.7,NETBANKING,LIMIT,0,15,0.5514236210877116,0.31489455870019034,4,0,tablet,4,2,0
TX000021,19942,2486,6218.38,WALLET,TIMEOUT,1,5,0.881200880436654,0.8635018702056463,3,1,tablet,2,0,1
TX000022,19431,2311,5178.08,WALLET,NETWORK,0,30,0.7713158731648537,0.6564193320753857,3,1,tablet,3,0,0
TX000023,3747,1692,1308.39,WALLET,NETWORK,2,240,0.7019416451778939,0.6288107554685634,4,0,mobile,15,2,0
TX000024,1189,2522,494.96,WALLET,BANK_DECLINE,0,5,0.7133616259175715,0.689775747759543,1,0,tablet,9,4,1
TX000025,4005,2624,8760.11,CARD,LIMIT,0,15,0.7856330357245931,0.5279925911978446,3,0,tablet,15,1,0
TX000026,2899,2670,1622.75,CARD,BANK_DECLINE,1,15,0.841363806863475,0.475181966144059,2,0,mobile,3,1,0
TX000027,2267,1155,1715.71,NETBANKING,NETWORK,1,240,0.5077083036430947,0.6258434400160009,2,0,mobile,0,4,0
TX000028,18912,830,880.35,UPI,BANK_DECLINE,0,5,0.5631316321511592,0.49022075954927863,1,0,tablet,9,3,0
TX000029,12394,1815,1667.23,CARD,NETWORK,2,5,0.8554385265715994,0.6996065136984599,2,0,tablet,20,5,1
TX000030,4556,571,670.81,UPI,TIMEOUT,3,60,0.6946461774246053,0.30404823640684703,1,0,tablet,21,0,0
TX000031,4890,163,317.74,WALLET,LIMIT,0,15,0.9419030082393354,0.7600626996089508,0,0,tablet,6,0,0
TX000032,9838,195,1286.61,WALLET,NETWORK,0,60,0.7489639889124045,0.6696462078585487,0,1,mobile,0,4,0
TX000033,15502,208,2088.96,UPI,BANK_DECLINE,1,30,0.9397964970669548,0.5281368729172757,0,0,tablet,8,6,0
TX000034,11627,953,1931.7,UPI,TIMEOUT,2,120,0.7327819798916937,0.6245391624744334,2,0,desktop,4,2,0
TX000035,9792,2270,568.62,CARD,BANK_DECLINE,2,30,0.38198256945856324,0.8583215381866329,3,0,tablet,19,0,0
TX000036,11555,2910,1548.91,UPI,TIMEOUT,1,60,0.7222916806235404,0.541607057904945,1,0,desktop,14,0,0
TX000037,11253,2068,3468.33,CARD,NETWORK,1,60,0.8296779265400911,0.47524579314504745,1,0,desktop,7,1,0
TX000038,9433,845,2716.04,WALLET,LIMIT,3,5,0.48583636576994205,0.45501495597699865,2,0,tablet,4,5,0
TX000039,11233,835,2527.19,UPI,NETWORK,0,5,0.8467844066890093,0.8792934531398064,3,0,mobile,7,3,1
TX000040,12016,1502,720.31,NETBANKING,TIMEOUT,2,30,0.6249537537535217,0.3718866509352555,3,0,tablet,19,3,0
TX000041,3612,222,283.57,WALLET,NETWORK,1,60,0.5131424768196133,0.7750355279556891,4,0,desktop,1,4,0
TX000042,16787,2129,236.88,CARD,LIMIT,0,60,0.3212537562155616,0.4036914363520348,3,0,mobile,21,6,0
TX000043,18159,2264,475.66,WALLET,BANK_DECLINE,3,5,0.5351722637639094,0.7227784780194428,1,0,mobile,0,0,0
TX000044,13206,1413,3452.16,CARD,TIMEOUT,2,240,0.5875955250271236,0.7599717594343471,3,0,tablet,9,0,1
TX000045,9226,868,389.06,WALLET,TIMEOUT,0,15,0.4481033977323776,0.8312496568680547,3,0,mobile,8,4,0
TX000046,15541,653,2731.19,NETBANKING,LIMIT,1,120,0.7385427862182933,0.3991336500461656,4,0,desktop,12,3,0
TX000047,4152,1472,606.44,UPI,NETWORK,1,30,0.35955831060608007,0.9432225856176812,0,0,mobile,5,1,0
TX000048,2585,245,1472.43,NETBANKING,LIMIT,1,120,0.7514952405611681,0.3686900617583476,0,1,tablet,20,5,0
TX000049,4943,1321,3321.42,NETBANKING,NETWORK,0,15,0.512519073964899,0.6373367416529274,1,0,mobile,3,6,1
TX000050,2021,2793,3938.56,UPI,TIMEOUT,0,30,0.30252267038789776,0.7246721593644555,1,0,mobile,19,6,0
TX000051,12653,318,415.61,CARD,NETWORK,3,240,0.46723979119481585,0.6389861111233847,4,1,desktop,6,0,0
TX000052,11805,1290,1085.21,NETBANKING,TIMEOUT,0,120,0.39475937776236525,0.8211616157781283,4,0,desktop,17,2,1
TX000053,14417,2458,512.91,WALLET,LIMIT,2,120,0.515691534448654,0.3419545375938263,1,1,mobile,10,5,1
TX000054,8989,984,1512.46,UPI,TIMEOUT,1,15,0.739292140851517,0.49085423757154956,1,0,tablet,2,6,0
TX000055,10692,2806,5873.0,CARD,LIMIT,1,30,0.42530002491700175,0.6060076107376655,3,0,tablet,7,0,0
TX000056,13990,2825,568.79,CARD,NETWORK,1,15,0.43173703744327624,0.6099496482730875,3,0,mobile,0,5,1
TX000057,7873,486,593.01,NETBANKING,TIMEOUT,3,5,0.56355031703025,0.6428297659997333,0,1,tablet,22,6,0
TX000058,6675,726,455.14,UPI,TIMEOUT,1,240,0.8537393534033975,0.8545526169517712,1,1,desktop,6,5,1
TX000059,1161,1737,343.39,NETBANKING,TIMEOUT,2,60,0.5366831531349402,0.80621614035738,2,0,tablet,2,2,0
TX000060,5297,375,787.75,UPI,BANK_DECLINE,0,5,0.5294680517413366,0.7714211412750489,4,0,tablet,0,6,0
TX000061,1995,1244,457.81,WALLET,NETWORK,0,15,0.9265686030367337,0.5849163533864283,3,0,mobile,2,6,0
TX000062,12534,2213,3624.49,UPI,LIMIT,1,15,0.715706526972006,0.40836358262996797,4,0,mobile,11,5,0
TX000063,8629,1962,625.49,UPI,TIMEOUT,1,240,0.8020619956486332,0.7910119660353436,1,1,desktop,16,0,0
TX000064,2016,1256,2941.78,UPI,BANK_DECLINE,0,60,0.6918999787175766,0.942785144223337,2,0,desktop,20,1,0
TX000065,9529,1916,822.08,UPI,TIMEOUT,0,240,0.5271408723451463,0.9497661881682251,0,1,mobile,14,6,1
TX000066,18262,2381,2027.23,NETBANKING,BANK_DECLINE,2,15,0.44365000856972525,0.9254111042627289,4,1,mobile,14,2,0
TX000067,10268,152,1190.58,UPI,TIMEOUT,1,30,0.6514035014990303,0.5743813505215615,3,0,mobile,16,6,0
TX000068,13185,2352,1940.28,NETBANKING,NETWORK,3,240,0.8405302852933134,0.7387123171075427,2,1,tablet,1,2,0
TX000069,7331,2031,677.63,WALLET,TIMEOUT,2,30,0.5474917888624876,0.8759840662747131,0,1,tablet,3,2,1
TX000070,9571,2457,3598.4,CARD,NETWORK,1,5,0.5824560196303716,0.8145261842213167,2,0,desktop,13,5,0
TX000071,8208,2023,5230.24,CARD,NETWORK,0,5,0.7422900020257412,0.8422752985516986,2,1,desktop,22,2,0
TX000072,6276,2382,4679.81,UPI,LIMIT,2,60,0.6210638238824854,0.3352370693639376,0,0,mobile,1,3,0
TX000073,19446,1142,169.26,NETBANKING,LIMIT,2,60,0.38868953084866853,0.7540695577913654,4,0,desktop,8,1,0
TX000074,17448,952,8312.16,WALLET,BANK_DECLINE,3,30,0.8556804107009823,0.8255182594955512,4,0,desktop,4,2,0
TX000075,17216,678,640.58,CARD,NETWORK,3,60,0.49361318766513196,0.3718417159446637,0,0,desktop,11,0,0
TX000076,9006,1260,217.91,WALLET,NETWORK,1,240,0.5187051466240176,0.5864273714741759,3,0,tablet,14,3,1
TX000077,3568,871,175.29,WALLET,LIMIT,2,60,0.8000476001925438,0.8949526158837142,0,0,tablet,23,4,0
TX000078,3027,2330,390.42,WALLET,LIMIT,2,120,0.8169674387286163,0.750996694320417,3,0,desktop,4,2,1
TX000079,3695,1374,277.55,WALLET,NETWORK,2,60,0.685407591449888,0.4956043732028496,0,0,desktop,16,1,0
TX000080,16422,2170,587.28,WALLET,BANK_DECLINE,1,15,0.8224496472084188,0.6615129651909625,1,0,tablet,15,6,0
TX000081,6258,2478,1419.54,UPI,LIMIT,3,60,0.8363447989717072,0.8848941945813835,1,1,tablet,19,0,0
TX000082,7736,1078,517.11,UPI,NETWORK,3,30,0.6694679526565404,0.32269067403430374,2,0,tablet,8,1,0
TX000083,1391,1956,310.77,WALLET,LIMIT,2,30,0.45466804357229645,0.6140167111993786,0,0,mobile,22,0,0
TX000084,14986,1644,669.18,CARD,BANK_DECLINE,0,15,0.30045855279028094,0.4113823888988134,0,0,tablet,1,4,1
TX000085,13666,2189,3434.95,WALLET,BANK_DECLINE,2,15,0.40353087107305546,0.8461286373929704,0,1,mobile,20,6,0
TX000086,6892,682,1541.7,UPI,TIMEOUT,2,60,0.32156868652111215,0.8886918098165322,1,0,desktop,0,2,0
TX000087,4561,1021,1590.29,NETBANKING,BANK_DECLINE,1,5,0.5061142939817795,0.5277326620513332,2,0,desktop,2,4,0
TX000088,7184,2168,350.94,WALLET,LIMIT,3,15,0.5412320541243675,0.7332776521214386,1,0,tablet,19,1,0
TX000089,9392,1502,4089.42,WALLET,BANK_DECLINE,3,5,0.8438290951925025,0.8652845486529752,4,0,desktop,19,0,0
TX000090,14067,1645,2292.92,WALLET,BANK_DECLINE,3,5,0.4208513840670715,0.4937326311552522,3,0,desktop,19,3,0
TX000091,16265,1828,576.09,CARD,TIMEOUT,1,30,0.42284587729344336,0.4223368882649119,0,0,mobile,20,0,0
TX000092,3454,1223,3698.64,WALLET,LIMIT,0,60,0.499734460405331,0.5481753955551516,0,1,tablet,23,2,1
TX000093,12837,1702,3246.78,CARD,TIMEOUT,0,15,0.8541935070219926,0.7078486287603512,2,1,tablet,14,4,0
TX000094,15039,2640,759.88,WALLET,LIMIT,1,60,0.5134951421248594,0.44972735003586506,4,0,mobile,19,6,0
TX000095,11965,1135,345.71,CARD,BANK_DECLINE,3,120,0.6408490500314792,0.31854990181049014,2,0,mobile,10,0,0
TX000096,10762,702,335.08,WALLET,NETWORK,2,120,0.6666232363260065,0.7194154626118132,0,0,tablet,7,5,0
TX000097,6056,1069,562.7,NETBANKING,NETWORK,1,60,0.6545031151060534,0.5949187754897332,4,0,tablet,5,5,0
TX000098,15948,2190,1233.0,UPI,BANK_DECLINE,2,240,0.714771038418095,0.7591664262233473,3,0,tablet,3,5,1
TX000099,9110,2749,3243.23,NETBANKING,BANK_DECLINE,3,15,0.6180147213871527,0.923173851852223,4,0,mobile,0,4,0
TX000100,14773,1003,1472.47,WALLET,LIMIT,0,15,0.8936461679367536,0.8228815621809926,0,0,mobile,10,4,1
TX000101,18412,842,1301.7,CARD,LIMIT,0,15,0.7683406906891077,0.8296967545312899,4,0,desktop,2,0,0
TX000102,1502,431,524.45,UPI,LIMIT,2,120,0.40163348741314214,0.8662938092797208,2,0,tablet,16,1,0
TX000103,7910,1802,292.9,UPI,BANK_DECLINE,0,5,0.8892349048413699,0.3810270109593047,1,0,desktop,8,1,1
TX000104,13685,665,7699.59,UPI,BANK_DECLINE,2,15,0.946297152956459,0.5728516515352973,0,1,tablet,0,4,0
TX000105,1206,1803,2411.44,NETBANKING,LIMIT,2,240,0.3609074516837393,0.8591139130920964,1,1,mobile,15,4,0
TX000106,18868,256,1034.69,WALLET,TIMEOUT,1,60,0.8750769323323913,0.7354225673581201,4,0,desktop,18,5,0
TX000107,16934,2219,573.48,CARD,BANK_DECLINE,0,240,0.8584550151572778,0.3704341281535103,0,0,tablet,21,5,0
TX000108,18247,1394,2473.85,CARD,TIMEOUT,1,5,0.8346252903557176,0.8464078229104255,0,0,desktop,21,2,0
TX000109,9755,2173,1328.81,CARD,TIMEOUT,1,120,0.4950022278182824,0.5665155283312688,0,0,tablet,5,1,0
TX000110,13383,2579,847.51,CARD,NETWORK,3,240,0.8310295085255706,0.3383773817236794,3,0,mobile,22,4,0
TX000111,19141,711,357.53,NETBANKING,BANK_DECLINE,1,15,0.8111716746529165,0.4920345170051823,2,0,mobile,21,4,1
TX000112,15820,1292,692.23,UPI,TIMEOUT,3,120,0.5015135277300362,0.4138778577782835,0,0,tablet,11,3,0
TX000113,8574,2912,240.49,NETBANKING,TIMEOUT,0,30,0.43595037117469704,0.32028906287575154,2,0,desktop,11,3,0
TX000114,7374,2773,2500.44,UPI,BANK_DECLINE,3,15,0.6055824946771962,0.5278975114437454,2,1,mobile,16,4,1
TX000115,2678,1796,1957.03,WALLET,NETWORK,1,15,0.5932623297986002,0.7626471810944258,4,0,tablet,17,1,0
TX000116,2059,2287,314.12,UPI,LIMIT,3,5,0.7814330994536116,0.6476132016367178,2,0,desktop,5,2,1
TX000117,17198,2581,522.46,WALLET,NETWORK,1,240,0.31580821814246435,0.620507548659542,1,0,desktop,21,5,0
TX000118,10914,600,945.1,UPI,NETWORK,1,30,0.4758776759971185,0.6468417487621834,3,0,mobile,13,5,1
TX000119,11817,302,3940.63,CARD,LIMIT,1,60,0.3084032399600117,0.6947702993515246,1,0,desktop,15,4,0
TX000120,11921,152,1518.64,NETBANKING,NETWORK,1,5,0.8293424619108201,0.34170884352889774,3,0,tablet,17,6,0
TX000121,10789,848,1113.65,WALLET,TIMEOUT,3,60,0.8357481049712727,0.6592670382623804,1,0,mobile,12,1,0
